
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
365.927; 1148.667;  150.278; 1167.056
366.518; 1347.667;  178.278; 1256.056
367.110; 1416.667;  181.278; 1415.056
367.701; 1091.667;  150.278; 1078.056
368.292; 1424.667;  187.278; 1356.056
368.884; 1199.667;  152.278; 1143.056
369.475; 1465.667;  210.278; 1441.056
370.066; 1205.667;  173.278; 1209.056
370.657; 1437.667;  158.278; 1374.056
371.248; 1131.667;  168.278; 1063.056
371.840; 1241.667;  147.278; 1211.056
372.431; 1194.667;  160.278; 1168.056
373.022; 1152.667;  163.278; 1094.056
373.613; 1352.667;  182.278; 1332.056
374.204; 1337.667;  159.278; 1299.056
374.795; 1132.667;  124.278; 1089.056
375.385; 1382.667;  195.278; 1371.056
375.976; 1409.667;  180.278; 1362.056
376.567; 1215.667;  188.278; 1221.056
377.158; 1340.667;  190.278; 1245.056
377.749; 1207.667;  153.278; 1208.056
378.339; 1208.667;  186.278; 1217.056
378.930; 1228.667;  171.278; 1198.056
379.521; 1477.667;  217.278; 1412.056
380.112; 1319.667;  184.278; 1304.056
380.702; 1373.667;  141.278; 1295.056
381.293; 1197.667;  124.278; 1218.056
381.883; 1365.667;  176.278; 1330.056
382.474; 1448.667;  177.278; 1405.056
383.064; 1227.667;  163.278; 1159.056
383.655; 1420.667;  191.278; 1387.056
384.245; 1336.667;  163.278; 1288.056
384.836; 1414.667;  183.278; 1384.056
385.426; 1245.667;  159.278; 1248.056
386.016; 1197.667;  138.278; 1203.056
386.607; 1399.667;  184.278; 1345.056
387.197; 1265.667;  166.278; 1233.056
387.787; 1186.667;  158.278; 1077.056
388.377; 1152.667;  100.278; 1113.056
388.967; 1214.667;  178.278; 1191.056
389.558; 1205.667;  105.278; 1178.056
390.148; 1316.667;  188.278; 1264.056
390.738; 1200.667;  172.278; 1172.056
391.328; 1157.667;  131.278; 1102.056
391.918; 1314.667;  144.278; 1309.056
392.508; 1368.667;  165.278; 1334.056
393.098; 1065.667;  131.278; 1095.056
393.688; 1239.667;  183.278; 1203.056
394.277; 1126.667;  116.278; 1100.056
394.867; 1292.667;  165.278; 1216.056
395.457; 1251.667;  113.278; 1236.056
396.047; 1460.667;  182.278; 1419.056
396.637; 1415.667;  174.278; 1403.056
397.226; 1342.667;  179.278; 1271.056
397.816; 1303.667;  145.278; 1269.056
398.406; 1255.667;  149.278; 1165.056
398.995; 1339.667;  156.278; 1297.056
399.585; 1275.667;  178.278; 1259.056
400.174; 1194.667;  168.278; 1223.056
400.764; 1273.667;  181.278; 1244.056
401.353; 1181.667;  153.278; 1130.056
401.943; 1201.667;  161.278; 1144.056
402.532; 1269.667;  106.278; 1201.056
403.122; 1182.667;  157.278; 1127.056
403.711; 1144.667;  163.278; 1129.056
404.300; 1274.667;  171.278; 1226.056
404.889; 1132.667;  125.278; 1103.056
405.479; 1210.667;  140.278; 1168.056
406.068; 1274.667;  153.278; 1235.056
406.657; 1511.667;  214.278; 1492.056
407.246; 1252.667;  192.278; 1192.056
407.835; 1243.667;  163.278; 1205.056
408.424; 1346.667;  167.278; 1353.056
409.014; 1320.667;  159.278; 1221.056
409.603; 1309.667;  162.278; 1225.056
410.192; 1291.667;  159.278; 1245.056
410.781; 1273.667;  170.278; 1260.056
411.369; 1054.667;   90.278;  996.056
411.958; 1047.667;  134.278;  964.056
412.547; 1166.667;  142.278; 1104.056
413.136; 1259.667;  140.278; 1076.056
413.725; 1276.667;  168.278; 1155.056
414.314; 1408.667;  158.278; 1343.056
414.902; 1353.667;  160.278; 1157.056
415.491; 1314.667;   98.278; 1175.056
416.080; 1385.667;  185.278; 1243.056
416.668; 1243.667;   91.278; 1079.056
417.257; 1417.667;  168.278; 1241.056
417.845; 1288.667;  105.278; 1146.056
418.434; 1360.667;  162.278; 1099.056
419.022; 1530.667;  171.278; 1351.056
419.611; 1545.667;  166.278; 1269.056
420.199; 1536.667;  133.278; 1178.056
420.788; 1535.667;  111.278; 1212.056
421.376; 1619.667;  172.278; 1363.056
421.964; 1442.667;   98.278; 1063.056
422.553; 1748.667;  196.278; 1382.056
423.141; 1587.667;  161.278; 1138.056
423.729; 1671.667;  148.278; 1167.056
424.317; 1729.667;  133.278; 1255.056
424.905; 1694.667;  188.278; 1195.056
425.494; 1669.667;  145.278; 1102.056
426.082; 1735.667;  155.278; 1094.056
426.670; 1973.667;  171.278; 1225.056
427.258; 2128.667;  157.278; 1301.056
427.846; 2100.667;  177.278; 1279.056
428.434; 2168.667;  151.278; 1226.056
429.022; 2143.667;  146.278; 1142.056
429.610; 2296.667;  174.278; 1180.056
430.197; 2481.667;  187.278; 1300.056
430.785; 2579.667;  153.278; 1299.056
431.373; 2549.667;  156.278; 1174.056
431.961; 2693.667;  166.278; 1324.056
432.549; 2843.667;  178.278; 1281.056
433.136; 2874.667;  178.278; 1219.056
433.724; 3127.667;  145.278; 1301.056
434.311; 3232.667;  139.278; 1240.056
434.899; 3468.667;  162.278; 1331.056
435.487; 3345.667;  150.278; 1112.056
436.074; 3922.667;  196.278; 1467.056
436.662; 3971.667;  215.278; 1358.056
437.249; 3995.667;  172.278; 1211.056
437.837; 4039.667;  116.278; 1051.056
438.424; 4336.667;  156.278; 1239.056
439.011; 4528.667;  171.278; 1211.056
439.599; 4697.667;  166.278; 1120.056
440.186; 5007.667;  161.278; 1169.056
440.773; 5333.667;  131.278; 1251.056
441.360; 5463.667;  129.278; 1137.056
441.948; 5913.667;  170.278; 1337.056
442.535; 6066.667;  154.278; 1245.056
443.122; 6431.667;  165.278; 1252.056
443.709; 6794.667;  182.278; 1259.056
444.296; 7035.667;  143.278; 1204.056
444.883; 7474.667;  172.278; 1310.056
445.470; 7650.667;  130.278; 1216.056
446.057; 8061.667;  163.278; 1179.056
446.644; 8344.667;  146.278; 1219.056
447.231; 8953.667;  200.278; 1423.056
447.818; 9336.667;  177.278; 1410.056
448.404; 9496.667;  130.278; 1227.056
